"INTERSECTION_ID","LANES","DISTANCE","PRED_NON_PED_AADT","SPEED","WIDTH","PATTERN","SCORE","RANK","RANK_PERCENTILE"
1,1,3,0,1,0,0,5,8690,54.42
2,1,0,1,1,0,4,7,13868,78.23
3,3,0,5,2,5,10,25,18550,99.91
4,1,0,1,1,1,0,4,4966,36.77
5,1,0,1,1,2,0,5,8690,54.42
6,1,1,0,1,0,0,3,1352,17.01
7,1,0,2,1,0,0,4,4966,36.77
8,1,2,2,1,0,0,6,11521,68.36
9,1,0,1,1,2,0,5,8690,54.42
10,1,0,2,2,1,0,6,11521,68.36
11,1,1,0,1,1,0,4,4966,36.77
12,1,0,0,1,0,0,2,32,3.72
13,1,0,3,1,0,0,5,8690,54.42
14,1,0,1,1,2,0,5,8690,54.42
15,1,0,1,1,3,0,6,11521,68.36
16,1,0,0,1,0,0,2,32,3.72
17,1,0,0,1,0,0,2,32,3.72
18,1,0,0,1,0,0,2,32,3.72
19,1,0,0,1,0,0,2,32,3.72
20,1,0,1,1,2,0,5,8690,54.42
21,1,2,0,1,0,0,4,4966,36.77
22,1,1,1,1,0,0,4,4966,36.77
23,1,0,0,1,0,0,2,32,3.72
25,1,0,2,1,0,0,4,4966,36.77
26,1,1,0,1,0,0,3,1352,17.01
27,1,0,1,1,0,0,3,1352,17.01
28,1,3,3,4,4,0,15,17888,96.85
30,1,2,3,1,0,0,7,13868,78.23
31,1,0,0,1,1,0,3,1352,17.01
32,1,0,1,1,0,6,9,15950,87.44
33,1,0,5,1,0,0,7,13868,78.23
34,1,0,0,1,0,0,2,32,3.72
35,1,1,0,1,0,0,3,1352,17.01
36,1,3,0,1,1,0,6,11521,68.36
37,1,1,1,1,1,0,5,8690,54.42
38,1,1,0,1,0,0,3,1352,17.01
39,1,0,0,1,0,0,2,32,3.72
40,1,2,1,1,0,0,5,8690,54.42
41,1,0,3,1,4,0,9,15950,87.44
42,1,0,2,1,1,8,13,17456,94.66
43,1,1,0,1,1,0,4,4966,36.77
44,1,4,2,1,0,0,8,15186,83.84
45,1,0,0,1,0,0,2,32,3.72
46,1,1,1,1,0,0,4,4966,36.77
47,1,0,1,1,0,0,3,1352,17.01
48,1,1,1,1,2,0,6,11521,68.36
49,1,1,0,1,1,0,4,4966,36.77
50,1,2,0,1,2,0,6,11521,68.36
51,1,0,1,1,1,0,4,4966,36.77
52,1,1,1,1,0,4,8,15186,83.84
53,3,0,5,4,5,0,17,18193,98.23
54,1,1,1,1,1,0,5,8690,54.42
55,1,0,4,1,4,6,16,18081,97.67
56,1,2,1,1,0,0,5,8690,54.42
57,1,0,2,1,2,0,6,11521,68.36
58,1,1,1,1,0,0,4,4966,36.77
59,1,0,0,1,2,0,4,4966,36.77
60,3,0,5,2,5,6,21,18462,99.52
62,1,1,1,1,3,0,7,13868,78.23
63,1,0,1,1,0,6,9,15950,87.44
64,1,0,0,1,0,0,2,32,3.72
65,1,0,0,1,3,0,5,8690,54.42
66,1,1,0,1,0,0,3,1352,17.01
67,1,0,2,1,0,0,4,4966,36.77
68,1,0,0,1,0,0,2,32,3.72
69,1,0,2,1,4,0,8,15186,83.84
70,1,2,0,1,1,0,5,8690,54.42
71,1,0,0,1,0,0,2,32,3.72
72,1,1,0,1,2,0,5,8690,54.42
73,1,0,1,1,0,0,3,1352,17.01
74,1,4,0,1,0,0,6,11521,68.36
75,1,1,0,1,0,0,3,1352,17.01
76,1,4,0,1,1,0,7,13868,78.23
77,1,2,0,1,0,0,4,4966,36.77
78,1,2,0,1,0,0,4,4966,36.77
79,1,3,1,1,0,0,6,11521,68.36
80,1,2,1,1,4,0,9,15950,87.44
