"INTERSECTION_ID","BUS_STOP_DISTANCE","ELEMENTARY_DISTANCE","COMMUNITY_CENTRE_DISTANCE","WALKWAY_DISTANCE","SECONDARY_DISTANCE","LOCAL_INTEREST_DISTANCE","BUS_USAGE_NEAREST","COMMERCIAL_KDE","PARK_DISTANCE","BUS_USAGE_KNN","EMPLOYMENT_DISTANCE","SCORE","RANK","RANK_PERCENTILE"
1,2,3,0,2,1,0,0,0,0,0,2,10,4407,29.71
2,2,3,2,2,2,2,4,1,0,3,2,23,18318,98.83
3,2,3,0,2,3,2,4,2,0,3,2,23,18318,98.83
4,0,4,0,2,3,0,0,0,0,0,2,11,6628,42.51
5,2,4,0,2,3,0,0,0,0,0,2,13,11279,67.29
6,0,2,0,2,0,0,0,0,0,0,2,6,1022,7.48
7,2,3,2,2,3,1,0,0,0,0,2,15,15438,86.06
8,2,3,0,2,2,0,0,0,0,0,1,10,4407,29.71
9,2,4,0,2,0,0,0,0,0,0,2,10,4407,29.71
10,2,4,0,2,4,2,0,0,0,0,2,16,16525,90.86
11,2,4,0,2,4,2,0,0,0,0,2,16,16525,90.86
12,0,3,0,2,3,0,0,0,0,0,1,9,3337,20.85
13,2,2,0,2,1,0,0,1,0,0,2,10,4407,29.71
14,2,4,0,2,3,1,0,0,0,0,2,14,13712,78.49
15,2,4,0,2,3,1,0,0,0,0,2,14,13712,78.49
16,2,4,0,2,3,1,0,0,0,0,2,14,13712,78.49
17,2,4,0,2,3,1,0,0,0,0,2,14,13712,78.49
18,2,4,0,2,3,1,0,0,0,0,2,14,13712,78.49
19,2,4,0,2,3,1,0,0,0,0,2,14,13712,78.49
20,2,3,0,2,2,0,0,0,0,0,2,11,6628,42.51
21,2,4,0,2,1,0,0,0,2,0,1,12,9159,55.03
22,2,3,0,2,3,0,0,0,0,0,1,11,6628,42.51
23,2,4,0,2,1,0,0,0,0,0,2,11,6628,42.51
25,2,2,0,2,0,0,0,1,0,0,2,9,3337,20.85
26,2,4,0,2,3,1,0,0,0,0,2,14,13712,78.49
27,2,4,2,2,2,0,0,0,0,0,2,14,13712,78.49
28,2,4,0,2,1,0,0,0,0,0,2,11,6628,42.51
30,2,3,0,2,2,0,0,1,0,0,2,12,9159,55.03
31,0,4,0,2,0,0,0,0,0,0,2,8,2298,15.17
32,2,3,0,2,2,0,0,4,0,0,2,15,15438,86.06
33,2,3,2,2,0,0,0,0,0,0,1,10,4407,29.71
34,2,4,0,2,2,0,0,0,0,0,2,12,9159,55.03
35,2,3,0,2,2,0,0,0,2,0,2,13,11279,67.29
36,2,4,0,2,1,0,0,0,0,0,2,11,6628,42.51
37,2,3,0,2,1,1,0,0,2,0,1,12,9159,55.03
38,2,3,0,2,2,0,0,0,0,0,1,10,4407,29.71
39,2,3,0,2,2,0,0,0,0,0,1,10,4407,29.71
40,2,3,0,2,3,0,0,0,0,0,2,12,9159,55.03
41,2,4,0,2,2,0,0,0,0,0,2,12,9159,55.03
42,2,3,2,2,3,2,0,1,0,0,2,17,17218,93.69
43,2,3,0,2,2,0,0,0,0,0,2,11,6628,42.51
44,2,2,0,2,0,0,0,0,0,0,0,6,1022,7.48
45,2,3,0,2,2,0,0,0,0,0,2,11,6628,42.51
46,2,4,0,2,3,0,0,0,0,0,2,13,11279,67.29
47,2,4,0,2,1,0,0,0,0,0,2,11,6628,42.51
48,2,4,0,2,3,0,0,0,2,0,2,15,15438,86.06
49,2,3,0,2,2,0,0,0,0,0,2,11,6628,42.51
50,2,4,0,2,2,0,0,0,0,0,2,12,9159,55.03
51,2,4,0,2,1,0,0,0,0,0,2,11,6628,42.51
52,2,4,0,2,3,0,0,0,0,0,2,13,11279,67.29
53,2,3,2,2,1,0,0,1,0,0,2,13,11279,67.29
54,2,4,0,2,1,0,0,0,0,0,2,11,6628,42.51
55,2,3,2,2,2,1,0,2,0,0,2,16,16525,90.86
56,2,3,2,2,2,0,0,0,2,0,1,14,13712,78.49
57,2,4,2,2,3,0,0,0,0,0,2,15,15438,86.06
58,2,3,0,2,3,0,0,0,0,0,1,11,6628,42.51
59,2,4,0,2,0,0,0,0,0,0,2,10,4407,29.71
60,2,3,2,2,2,0,0,1,0,0,2,14,13712,78.49
62,2,4,0,2,2,0,0,0,0,0,2,12,9159,55.03
63,2,3,2,2,2,0,0,4,2,0,2,19,17800,96.24
64,0,3,0,2,0,0,0,0,0,0,1,6,1022,7.48
65,0,3,0,2,0,0,0,0,0,0,1,6,1022,7.48
66,2,2,2,2,3,0,0,1,0,0,2,14,13712,78.49
67,2,3,2,2,3,1,0,1,0,0,2,16,16525,90.86
68,2,3,0,2,2,0,0,0,0,0,2,11,6628,42.51
69,2,4,0,2,3,0,3,1,2,2,2,21,18054,97.69
70,2,3,0,2,2,0,0,0,0,0,1,10,4407,29.71
71,0,2,0,2,2,0,0,0,2,0,2,10,4407,29.71
72,0,3,0,2,2,0,0,0,2,0,2,11,6628,42.51
73,2,4,0,2,2,0,0,0,0,0,2,12,9159,55.03
74,2,4,0,2,3,0,0,0,0,0,1,12,9159,55.03
75,0,2,0,2,0,0,0,0,0,0,2,6,1022,7.48
76,2,4,0,2,3,0,0,0,0,0,1,12,9159,55.03
77,2,3,0,2,3,0,0,0,0,0,1,11,6628,42.51
78,2,3,0,2,2,0,0,1,0,0,2,12,9159,55.03
79,0,4,0,2,0,0,0,1,0,0,2,9,3337,20.85
80,2,4,0,2,2,0,0,0,0,0,2,12,9159,55.03
81,2,3,0,2,1,0,0,0,0,0,2,10,4407,29.71
82,2,3,0,2,2,0,0,0,0,0,2,11,6628,42.51
83,2,4,0,2,0,0,0,0,0,0,2,10,4407,29.71
84,2,4,0,2,3,2,0,0,0,0,2,15,15438,86.06
85,0,3,0,2,0,0,0,0,0,0,2,7,1757,10.91
86,2,3,0,2,1,0,0,0,0,0,2,10,4407,29.71
87,2,3,2,2,3,1,0,1,2,0,2,18,17576,95.26
88,2,3,0,2,2,0,0,0,0,0,1,10,4407,29.71
89,2,4,0,2,0,0,0,0,0,0,2,10,4407,29.71
90,2,3,0,2,2,0,0,0,0,0,2,11,6628,42.51
91,0,3,0,2,0,1,0,1,0,0,1,8,2298,15.17
92,2,3,0,2,0,0,0,0,0,0,2,9,3337,20.85
93,2,4,2,2,3,2,0,3,2,0,2,22,18227,98.4
94,2,4,0,2,0,0,0,1,0,0,2,11,6628,42.51
95,0,3,0,2,0,0,0,0,0,0,1,6,1022,7.48
96,2,4,0,2,0,0,0,1,0,0,2,11,6628,42.51
97,2,4,0,2,3,0,0,0,0,0,2,13,11279,67.29
98,2,4,0,2,1,0,0,0,0,0,1,10,4407,29.71
99,2,4,0,2,1,0,0,0,0,0,1,10,4407,29.71
100,2,3,0,2,2,0,0,1,0,0,2,12,9159,55.03
101,2,4,0,2,1,0,0,2,2,0,2,15,15438,86.06
102,2,3,0,2,1,0,0,0,0,0,1,9,3337,20.85
103,2,3,0,2,1,0,0,0,0,0,1,9,3337,20.85
104,2,4,0,2,3,0,0,2,0,0,2,15,15438,86.06
105,0,4,0,2,0,0,0,0,0,0,1,7,1757,10.91
106,2,3,0,2,2,0,0,0,0,0,1,10,4407,29.71
107,2,2,2,2,0,0,0,1,0,0,2,11,6628,42.51
108,2,4,0,2,3,0,0,0,0,0,2,13,11279,67.29
110,2,3,0,2,2,0,0,0,0,0,2,11,6628,42.51
111,0,4,0,2,3,1,0,1,0,0,2,13,11279,67.29
112,2,4,0,2,0,0,0,0,0,0,2,10,4407,29.71
113,2,3,2,2,4,1,0,1,0,0,2,17,17218,93.69
114,2,3,0,0,2,0,0,0,0,0,1,8,2298,15.17
115,2,4,0,2,2,0,0,0,0,0,2,12,9159,55.03
116,2,3,0,2,1,0,4,3,0,3,2,20,17942,96.92
117,2,3,0,2,4,0,0,0,0,0,2,13,11279,67.29
118,2,2,0,2,2,0,0,0,0,0,0,8,2298,15.17
119,2,4,0,2,3,0,0,0,2,0,2,15,15438,86.06
120,2,3,2,2,2,0,0,0,0,0,1,12,9159,55.03
121,2,3,0,2,2,0,0,0,0,0,1,10,4407,29.71
122,2,4,0,2,2,0,0,0,0,0,1,11,6628,42.51
123,2,3,0,2,3,0,0,0,0,0,1,11,6628,42.51
124,2,4,0,2,1,0,0,0,0,0,2,11,6628,42.51
125,2,3,0,2,2,0,0,0,0,0,1,10,4407,29.71
126,2,3,0,2,2,0,0,0,0,0,2,11,6628,42.51
127,0,3,0,2,0,0,0,0,0,0,2,7,1757,10.91
128,2,1,0,2,1,0,0,0,0,0,1,7,1757,10.91
129,2,4,0,0,1,0,0,0,0,0,2,9,3337,20.85
130,2,3,0,2,3,0,0,0,0,0,1,11,6628,42.51
131,2,3,0,2,2,0,0,1,0,0,1,11,6628,42.51
132,2,4,0,2,2,0,0,0,0,0,2,12,9159,55.03
133,2,3,0,2,1,0,0,3,0,3,2,16,16525,90.86
134,2,3,0,2,2,0,0,1,0,0,2,12,9159,55.03
135,2,3,0,2,1,0,0,0,0,0,1,9,3337,20.85
136,2,4,2,2,3,0,0,0,2,0,2,17,17218,93.69
137,2,2,0,2,0,0,0,2,0,0,2,10,4407,29.71
138,0,4,0,2,0,0,0,0,0,0,1,7,1757,10.91
